shortnam,africa,lat_abst,rich4,avexpr,logpgp95,logem4,asia,loghjypl,baseco,country_name,x2019,edu,f_brit,f_french
AFG,0,0.3666667,0,NA,NA,4.540098,1,NA,NA,Afghanistan,2065.036398,3.8,1,0
AGO,1,0.1366667,0,5.363636,7.770645,5.634789,0,-3.411248,1,Angola,6670.332297,5.1,0,0
ARE,0,0.2666667,0,7.181818,9.804219,NA,1,NA,NA,United Arab Emirates,67119.13264,10.8,1,0
ARG,0,0.3777778,0,6.386364,9.133459,4.232656,0,-0.8722738,1,Argentina,22063.90437,9.9,0,0
ARM,0,0.4444444,0,NA,7.682482,NA,1,NA,NA,Armenia,13653.74953,11.7,0,0
AUS,0,0.3,1,9.318182,9.897972,2.145931,0,-0.1707883,1,Australia,49611.85656,12.9,1,0
AUT,0,0.5244445,0,9.727273,9.974877,NA,0,-0.3438998,NA,Austria,56029.61279,12.1,0,0
AZE,0,0.4477778,0,NA,7.306531,NA,1,NA,NA,Azerbaijan,14403.85047,10.7,0,0
BDI,1,0.0366667,0,NA,6.565265,5.634789,0,-3.506558,NA,Burundi,751.6639572,3,0,0
BEL,0,0.5611111,0,9.681818,9.992871,NA,0,-0.1791266,NA,Belgium,51914.91461,11.8,0,0
BEN,1,0.1033333,0,NA,7.090077,5.585449,0,-2.830218,NA,Benin,3287.309538,3.6,0,1
BFA,1,0.1444445,0,4.454545,6.84588,5.634789,0,-3.540459,1,Burkina Faso,2178.323415,1.5,0,1
BGD,0,0.2666667,0,5.136364,6.877296,4.268438,1,-2.063568,1,Bangladesh,4753.726947,5.8,1,0
BGR,0,0.4777778,0,8.909091,8.457443,NA,0,NA,NA,Bulgaria,23265.62327,11.8,0,0
BHR,0,0.2888889,0,8,9.685953,NA,1,NA,NA,Bahrain,45010.7115,9.4,1,0
BHS,0,0.2683333,0,7.5,9.285448,4.442651,0,NA,1,Bahamas,37100.74399,11.1,1,0
BIH,0,0.4888889,0,NA,NA,NA,0,NA,NA,Bosnia and Herzegovina,14922.14851,9.7,0,0
BLR,0,0.5888889,0,NA,8.340456,NA,0,NA,NA,Belarus,19149.63785,12.3,0,0
BLZ,0,0.1905556,0,NA,8.377932,5.095589,0,NA,NA,Belize,7004.65815,10.5,1,0
BOL,0,0.1888889,0,5.636364,7.926602,4.26268,0,-1.966113,1,Bolivia,8724.475702,8.9,0,0
BRA,0,0.1111111,0,7.909091,8.727454,4.26268,0,-1.142564,1,Brazil,14651.61618,7.8,0,0
BRB,0,0.1455556,0,NA,9.266721,4.442651,0,-0.9063404,NA,Barbados,15638.8299,10.6,1,0
BTN,0,0.3033333,0,NA,NA,NA,0,NA,NA,Bhutan,11832.18926,3.1,1,0
BWA,1,0.2444444,0,7.727273,8.855093,NA,0,-2.36446,NA,Botswana,17766.53897,9.3,1,0
CAF,1,0.0777778,0,NA,7.192934,5.634789,0,-3.411248,NA,Central African Republic,944.8680935,4.3,0,1
CAN,0,0.6666667,1,9.727273,9.986449,2.778819,0,-0.0608122,1,Canada,48886.75704,13.3,1,0
CHE,0,0.5222222,0,10,10.12021,NA,0,-0.1346749,NA,Switzerland,68394.28612,13.4,0,0
CHL,0,0.3333333,0,7.818182,9.336092,4.232656,0,-1.335601,1,Chile,25131.46476,10.3,0,0
CHN,0,0.3888889,0,7.772727,7.886081,4.770685,1,-2.813411,NA,China,16116.66393,7.8,0,0
CIV,1,0.0888889,0,7,7.444249,6.504288,0,-2.333044,1,Cote d'Ivoire,5212.556048,5.2,0,1
CMR,1,0.0666667,0,6.454545,7.501082,5.634789,0,-2.577022,1,Cameroon,3642.277258,6.3,0,0
COG,1,0.0111111,0,4.681818,7.420579,5.480639,0,-2.103734,1,Congo,3673.117827,6.3,0,1
COL,0,0.0444444,0,7.318182,8.809863,4.26268,0,-1.331806,1,Colombia,14624.9713,8.3,0,0
COM,1,0.1344444,0,NA,7.383989,NA,0,-3.352407,NA,Comoros,3059.509705,4.8,0,1
CPV,1,0.1777778,0,NA,7.979339,NA,0,-2.577022,NA,Cape Verde,7171.839465,6.1,0,0
CRI,0,0.1111111,0,7.045455,8.794825,4.35799,0,-1.358679,1,Costa Rica,20296.8215,8.8,0,0
CZE,0,0.5494444,0,8.863636,9.204322,NA,0,-1.555897,NA,Czechia,40836.32899,12.7,0,0
DEU,0,0.5666667,0,NA,9.935471,NA,0,-0.2008929,NA,Germany,53784.77958,14.1,0,0
DJI,1,0.1255556,0,NA,NA,3.258096,0,NA,NA,Djibouti,5534.749116,4.1,0,1
DNK,0,0.6222222,0,9.727273,10.00559,NA,0,-0.3710637,NA,Denmark,57821.19778,12.6,0,0
DOM,0,0.2111111,0,6.181818,8.364042,4.867535,0,-1.579879,1,Dominican Republic,18412.89827,7.8,0,1
DZA,1,0.3111111,0,6.5,8.389359,4.35927,0,-1.114742,1,Algeria,11510.55709,8,0,1
ECU,0,0.0222222,0,6.545455,8.470101,4.26268,0,-1.439695,1,Ecuador,11375.33118,8.7,0,0
EGY,1,0.3,0,6.772727,7.95156,4.216562,0,-1.676647,1,Egypt,11763.25364,7.2,1,0
ERI,1,0.1666667,0,NA,6.620073,NA,0,NA,NA,Eritrea,NA,4,0,0
ESP,0,0.4444444,0,9.681818,9.618468,NA,0,-0.3827257,NA,Spain,40985.55851,9.8,0,0
EST,0,0.6555555,0,NA,8.393895,NA,0,NA,NA,Estonia,36956.28443,12.7,0,0
ETH,1,0.0888889,0,5.727273,6.109248,3.258096,0,NA,1,Ethiopia,2221.404605,2.7,0,0
FIN,0,0.7111111,0,9.727273,9.826066,NA,0,-0.3092462,NA,Finland,48814.31015,12.4,0,0
FJI,0,0.2,0,NA,8.301521,2.433613,0,-1.298283,NA,Fiji,13684.39156,10.8,1,0
FRA,0,0.5111111,0,9.727273,9.963641,1.05779,0,-0.2008929,NA,France,46110.18471,11.5,0,0
GAB,1,0.0111111,0,7.818182,8.907883,5.634789,0,-1.851509,1,Gabon,14950.0702,8.2,0,1
GBR,0,0.6,0,9.772727,9.87817,0.9360933,0,-0.3188288,NA,United Kingdom,46704.32149,12.9,0,0
GEO,0,0.4666667,0,NA,7.37149,NA,1,NA,NA,Georgia,14992.22981,12.8,0,0
GHA,1,0.0888889,0,6.272727,7.36518,6.504288,0,-2.956511,1,Ghana,5412.628122,7.1,1,0
GIN,1,0.1222222,0,6.545455,7.489971,6.180017,0,-3.146555,1,Guinea,2562.082921,2.6,0,1
GMB,1,0.1475556,0,8.272727,7.272398,7.293018,0,-3.036554,1,Gambia,2222.870122,3.5,1,0
GNB,1,0.1333333,0,4.545455,NA,5.103883,0,-3.244194,NA,Guinea-Bissau,1989.367141,3,0,0
GRC,0,0.4333333,0,7.818182,9.39765,NA,0,-0.7571525,NA,Greece,30465.44879,10.8,0,0
GTM,0,0.17,0,5.136364,8.294049,4.26268,0,-1.560648,1,Guatemala,8637.464165,6.5,0,0
GUY,0,0.0555556,0,5.886364,7.904704,3.471345,0,-2.253795,1,Guyana,13082.35304,8.4,1,0
HKG,0,0.2461111,0,8.136364,10.04975,2.701361,1,-0.4975804,1,Hong Kong,59847.55428,12,1,0
HND,0,0.1666667,0,5.318182,7.68708,4.35799,0,-2.040221,1,Honduras,5727.973572,6.5,0,0
HRV,0,0.5011111,0,NA,8.418477,NA,0,NA,NA,Croatia,28829.35553,11.3,0,0
HTI,0,0.2111111,0,3.727273,7.146772,4.867535,0,-2.864704,1,Haiti,2905.439081,5.3,0,1
HUN,0,0.5222222,0,9,8.809863,NA,0,-1.180907,NA,Hungary,32643.49054,11.9,0,0
IDN,0,0.0556,0,7.590909,8.070906,5.135798,1,-2.207275,1,Indonesia,11812.19764,8,0,0
IND,0,0.2222,0,8.272727,7.326,3.884241,1,-2.453408,1,India,6700.062225,6.4,1,0
IRL,0,0.5888889,0,9.727273,9.769384,NA,0,-0.549913,NA,Ireland,86696.23908,12.5,1,0
IRN,0,0.3555556,0,4.772727,8.605204,NA,1,-1.22078,NA,Iran,12389.22159,9.8,0,0
IRQ,0,0.3666667,0,1.636364,NA,NA,1,NA,NA,Iraq,10881.17209,6.8,1,0
