shortnam,africa,lat_abst,rich4,avexpr,logpgp95,logem4,asia,loghjypl,baseco
"AFG",0,.3666667,0,,,4.540098,1,,
"AGO",1,.1366667,0,5.363636,7.770645,5.634789,0,-3.411248,1
"ARE",0,.2666667,0,7.181818,9.804219,,1,,
"ARG",0,.3777778,0,6.386364,9.133459,4.232656,0,-.8722738,1
"ARM",0,.4444444,0,,7.682482,,1,,
"AUS",0,.3,1,9.318182,9.897972,2.145931,0,-.1707883,1
"AUT",0,.5244445,0,9.727273,9.974877,,0,-.3438998,
"AZE",0,.4477778,0,,7.306531,,1,,
"BDI",1,.0366667,0,,6.565265,5.634789,0,-3.506558,
"BEL",0,.5611111,0,9.681818,9.992871,,0,-.1791266,
"BEN",1,.1033333,0,,7.090077,5.585449,0,-2.830218,
"BFA",1,.1444445,0,4.454545,6.84588,5.634789,0,-3.540459,1
"BGD",0,.2666667,0,5.136364,6.877296,4.268438,1,-2.063568,1
"BGR",0,.4777778,0,8.909091,8.457443,,0,,
"BHR",0,.2888889,0,8,9.685953,,1,,
"BHS",0,.2683333,0,7.5,9.285448,4.442651,0,,1
"BIH",0,.4888889,0,,,,0,,
"BLR",0,.5888889,0,,8.340456,,0,,
"BLZ",0,.1905556,0,,8.377932,5.095589,0,,
"BOL",0,.1888889,0,5.636364,7.926602,4.26268,0,-1.966113,1
"BRA",0,.1111111,0,7.909091,8.727454,4.26268,0,-1.142564,1
"BRB",0,.1455556,0,,9.266721,4.442651,0,-.9063404,
"BTN",0,.3033333,0,,,,0,,
"BWA",1,.2444444,0,7.727273,8.855093,,0,-2.36446,
"CAF",1,.0777778,0,,7.192934,5.634789,0,-3.411248,
"CAN",0,.6666667,1,9.727273,9.986449,2.778819,0,-.0608122,1
"CHE",0,.5222222,0,10,10.12021,,0,-.1346749,
"CHL",0,.3333333,0,7.818182,9.336092,4.232656,0,-1.335601,1
"CHN",0,.3888889,0,7.772727,7.886081,4.770685,1,-2.813411,
"CIV",1,.0888889,0,7,7.444249,6.504288,0,-2.333044,1
"CMR",1,.0666667,0,6.454545,7.501082,5.634789,0,-2.577022,1
"COG",1,.0111111,0,4.681818,7.420579,5.480639,0,-2.103734,1
"COL",0,.0444444,0,7.318182,8.809863,4.26268,0,-1.331806,1
"COM",1,.1344444,0,,7.383989,,0,-3.352407,
"CPV",1,.1777778,0,,7.979339,,0,-2.577022,
"CRI",0,.1111111,0,7.045455,8.794825,4.35799,0,-1.358679,1
"CZE",0,.5494444,0,8.863636,9.204322,,0,-1.555897,
"DEU",0,.5666667,0,,9.935471,,0,-.2008929,
"DJI",1,.1255556,0,,,3.258096,0,,
"DNK",0,.6222222,0,9.727273,10.00559,,0,-.3710637,
"DOM",0,.2111111,0,6.181818,8.364042,4.867535,0,-1.579879,1
"DZA",1,.3111111,0,6.5,8.389359,4.35927,0,-1.114742,1
"ECU",0,.0222222,0,6.545455,8.470101,4.26268,0,-1.439695,1
"EGY",1,.3,0,6.772727,7.95156,4.216562,0,-1.676647,1
"ERI",1,.1666667,0,,6.620073,,0,,
"ESP",0,.4444444,0,9.681818,9.618468,,0,-.3827257,
"EST",0,.6555555,0,,8.393895,,0,,
"ETH",1,.0888889,0,5.727273,6.109248,3.258096,0,,1
"FIN",0,.7111111,0,9.727273,9.826066,,0,-.3092462,
"FJI",0,.2,0,,8.301521,2.433613,0,-1.298283,
"FRA",0,.5111111,0,9.727273,9.963641,1.05779,0,-.2008929,
"GAB",1,.0111111,0,7.818182,8.907883,5.634789,0,-1.851509,1
"GBR",0,.6,0,9.772727,9.87817,.9360933,0,-.3188288,
"GEO",0,.4666667,0,,7.37149,,1,,
"GHA",1,.0888889,0,6.272727,7.36518,6.504288,0,-2.956511,1
"GIN",1,.1222222,0,6.545455,7.489971,6.180017,0,-3.146555,1
"GMB",1,.1475556,0,8.272727,7.272398,7.293018,0,-3.036554,1
"GNB",1,.1333333,0,4.545455,,5.103883,0,-3.244194,
"GRC",0,.4333333,0,7.818182,9.39765,,0,-.7571525,
"GTM",0,.17,0,5.136364,8.294049,4.26268,0,-1.560648,1
"GUY",0,.0555556,0,5.886364,7.904704,3.471345,0,-2.253795,1
"HKG",0,.2461111,0,8.136364,10.04975,2.701361,1,-.4975804,1
"HND",0,.1666667,0,5.318182,7.68708,4.35799,0,-2.040221,1
"HRV",0,.5011111,0,,8.418477,,0,,
"HTI",0,.2111111,0,3.727273,7.146772,4.867535,0,-2.864704,1
"HUN",0,.5222222,0,9,8.809863,,0,-1.180907,
"IDN",0,.0556,0,7.590909,8.070906,5.135798,1,-2.207275,1
"IND",0,.2222,0,8.272727,7.326,3.884241,1,-2.453408,1
"IRL",0,.5888889,0,9.727273,9.769384,,0,-.549913,
"IRN",0,.3555556,0,4.772727,8.605204,,1,-1.22078,
"IRQ",0,.3666667,0,1.636364,,,1,,
"ISL",0,.7222222,0,9.727273,9.943669,,0,-.3147107,
"ISR",0,.3477778,0,8.545455,9.784141,,1,-.4170318,
"ITA",0,.4722222,0,9.454545,9.897972,,0,-.1815219,
"JAM",0,.2016667,0,7.090909,8.188689,4.867535,0,-2.040221,1
"JOR",0,.3444445,0,6.772727,8.171882,,1,-.87707,
"JPN",0,.4,0,9.727273,10.03408,,1,-.5327305,
"KAZ",0,.5333334,0,,8.131531,,1,,
"KEN",1,.0111111,0,6.045455,7.056175,4.976734,0,-2.882404,1
"KGZ",0,.4555556,0,,7.575585,,1,,
"KOR",0,.4111111,0,8.636364,9.415728,4.770685,1,-.967584,
"KWT",0,.3255555,0,7.045455,9.803667,,1,,
"LAO",0,.2,0,,7.090077,4.941642,1,,
"LBR",1,.07,0,3.636364,,6.180017,0,,
"LBY",1,.2777778,0,5.272727,,,0,,
"LKA",0,.0777778,0,6.045455,7.731931,4.245634,1,-1.86433,1
"LSO",1,.3255555,0,,7.306531,,0,-2.764621,
"LTU",0,.6222222,0,,8.237479,,0,,
"LUX",0,.5494444,0,10,10.28875,,0,-.0140989,
"LVA",0,.6333333,0,,8.154788,,0,,
"MAR",1,.3555556,0,7.090909,8.042378,4.35927,0,-1.676647,1
"MDA",0,.5222222,0,,7.377759,,0,,
"MDG",1,.2222222,0,4.454545,6.835185,6.284209,0,-3.194183,1
"MEX",0,.2555556,0,7.5,8.943768,4.26268,0,-.8370175,1
"MKD",0,.4611111,0,,8.061487,,0,,
"MLI",1,.1888889,0,4,6.565265,7.986165,0,-3.352407,1
"MLT",0,.3944444,0,7.227273,9.427063,2.791165,0,-.7700282,1
"MMR",0,.2444444,0,5.772727,,3.543854,1,-3.540459,
"MNG",0,.5111111,0,7.363636,7.299798,,1,,
"MOZ",1,.2016667,0,6.5,6.461468,,0,-3.244194,
"MRT",1,.2222222,0,,7.414573,5.634789,0,-2.995732,
"MUS",1,.2241111,0,,9.053686,3.417727,0,-1.339411,
"MWI",1,.1477778,0,6.818182,6.461468,,0,-3.506558,
"MYS",0,.0255556,0,7.954545,8.894258,2.873565,1,-1.320507,1
"NAM",1,.2444444,0,,8.515191,,0,-1.639897,
"NER",1,.1777778,0,5,6.733402,5.991465,0,-3.540459,1
